Name,Medium,Website,Facebook,Twitter_Name,Twitter_ID,Geography
Opp News,Newspapers,http://www.oppnewsonline.com/,https://www.facebook.com/pages/The-Opp-News/199982373361642,,,AL
St. Clair News-Aegis,Newspapers,http://www.newsaegis.com/,https://www.facebook.com/pages/St-Clair-News-Aegis/289445752292,SCNewsAegis,285312624,AL
St. Clair Times,Newspapers,http://www.annistonstar.com/the_st_clair_times/,https://www.facebook.com/pages/St-Clair-Times/166861103332609,,,AL
Piedmont Journal,Newspapers,http://www.annistonstar.com/piedmont_journal/,,,,AL
Prattville Progress,Newspapers,http://www.montgomeryadvertiser.com/news/prattville/,https://www.facebook.com/PrattvilleProgress,,,AL
Randolph Leader,Newspapers,http://www.therandolphleader.com/,https://www.facebook.com/therandolphleader,randolphleader,84952,AL
Robertsdale Independent,Newspapers,http://www.gulfcoastnewstoday.com/the_independent/,https://www.facebook.com/GulfCoastMedia/,,,AL
Franklin County Times,Newspapers,http://www.franklincountytimes.com/,https://www.facebook.com/pages/The-Franklin-County-Times/88679907892,franklincotimes,42947713,AL
Daily Sentinel,Newspapers,http://thedailysentinel.com/,https://www.facebook.com/pages/The-Daily-Sentinel/189413290563,dailysentineljc,nan,AL
Scottsboro Clarion,Newspapers,http://www.theclarion.org/,https://www.facebook.com/theclarionnewspaper,theclarionpaper,4672144,AL
Selma Times-Journal,Newspapers,http://www.selmatimesjournal.com,https://www.facebook.com/SelmaTimesJournal,SelmaTimes,12222492,AL
Lamar Leader,Newspapers,http://www.lamarleader.com/,https://www.facebook.com/lamar.leader,,,AL
Daily Home,Newspapers,http://www.annistonstar.com/the_daily_home/,https://www.facebook.com/pages/Daily-Home-Newspaper/123994364892,dailyhome,577546,AL
Tallassee Tribune,Newspapers,http://tallasseetribune.com/,https://www.facebook.com/pages/The-Tallassee-Tribune/247004912816,TallasseeTrib,3296678,AL
Thomasville Times,Newspapers,http://www.thethomasvilletimes.com/,https://www.facebook.com/thomasvilletimes,tvilletimes,7172,AL
Thomasville Times,Newspapers,http://www.thethomasvilletimes.com/,https://www.facebook.com/thomasvilletimes,tvilletimes,7172,AL
Troy Messenger,Newspapers,http://www.troymessenger.com/,https://www.facebook.com/pages/Troy-Messenger/49304321607,troymessenger,19349897,AL
Trussville News,Newspapers,http://www.thetrussvillenews.com/,https://www.facebook.com/pages/The-Trussville-News/133375750041404,,,AL
Tuscaloosa News,Newspapers,http://www.tuscaloosanews.com,https://www.facebook.com/tuscnews,tuscaloosanews,189497,AL
Tuskegee News,Newspapers,http://www.thetuskegeenews.com/,https://www.facebook.com/pages/The-Tuskegee-News/288542497462,tuskegeenews,3888,AL
Wetumpka Herald ,Newspapers,http://thewetumpkaherald.com/,https://www.facebook.com/pages/The-Wetumpka-Herald/363087648683,WetumpkaHerald,31237182,AL
Bureau of Tourism & Travel,Magazines,http://alabama.travel/,https://www.facebook.com/AlabamaTravel,TweetHomeAla,527481,AL
Plainsman,College Newspapers,http://www.theplainsman.com/,https://www.facebook.com/theplainsman,TheAUPlainsman,372467453,AL
Plainsman,College Newspapers,http://www.theplainsman.com/,https://www.facebook.com/theplainsman,TheAUPlainsman,372467453,AL
The Chanticleer,College Newspapers,http://www.jsu.edu/chanticleer/,https://www.facebook.com/JacksonvilleStateUniversity,JSUNews,162119,AL
SpringHillian,College Newspapers,http://issuu.com/thespringhillian,,,,AL
Tropolitan,College Newspapers,http://tropnews.com/,https://www.facebook.com/Tropolitan,Tropolitan,1850315,AL
Kaleidoscope,College Newspapers,http://studentmedia.uab.edu/,https://www.facebook.com/uabkscope,UABkscope,21456389,AL
Crimson White,College Newspapers,http://cw.ua.edu/,https://www.facebook.com/TheCrimsonWhite,TheCrimsonWhite,43852492,AL
The Flor-Ala,College Newspapers,http://www.florala.net/,https://www.facebook.com/pages/The-Flor-Ala/137911642917581,UNAFlorAla,93898,AL
The Vanguard,College Newspapers,http://thevanguardonline.com/,https://www.facebook.com/TheVanguardUSA,TheVanguardUSA,7746865,AL
Standard,Newspapers,http://thesouthernstandard.com/,https://www.facebook.com/pages/The-Standard/132543323449071,,,AR
Daily Siftings Herald,Newspapers,http://www.siftingsherald.com/,https://www.facebook.com/siftingsherald,SiftingsHerald,728645114,AR
Atkins Chronicle,Newspapers,http://www.atkinschronicle.com/,https://www.facebook.com/pages/Atkins-Chronicle/246151175403655,,,AR
Arkansas Weekly,Newspapers,http://www.arkansasweekly.com/,https://www.facebook.com/pages/Arkansas-Weekly/381006746592,arkansasweekly,1235747,AR
Batesville Guard,Newspapers,http://guardonline.com/,https://www.facebook.com/guardonline,guardonline,166762,AR
Beebe News,Newspapers,http://beebenews.com/,https://www.facebook.com/BeebeNews,,,AR
Weekly Vista,Newspapers,http://bvwv.nwaonline.com/,https://www.facebook.com/pages/The-Weekly-Vista/179367945603816,nwademgaz,0129,AR
Weekly Vista,Newspapers,http://bvwv.nwaonline.com/,https://www.facebook.com/pages/The-Weekly-Vista/179367945603816,nwademgaz,0129,AR
Weekly Vista,Newspapers,http://bvwv.nwaonline.com/,https://www.facebook.com/pages/The-Weekly-Vista/179367945603816,nwademgaz,0129,AR
Weekly Vista,Newspapers,http://bvwv.nwaonline.com/,https://www.facebook.com/pages/The-Weekly-Vista/179367945603816,nwademgaz,0129,AR
Saline Courier,Newspapers,http://www.bentoncourier.com/,https://www.facebook.com/pages/Saline-Courier/102033473236661,SalineCourier,188487177,AR
Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Carroll County Newspapers,Newspapers,http://www.carrollconews.com/,https://www.facebook.com/carrollcountynews,,,AR
Courier News,Newspapers,http://www.blythevillecourier.com/,https://www.facebook.com/pages/Blytheville-Courier-News/79092810339,,,AR
Booneville Democrat,Newspapers,http://boonevilledemocrat.com/,https://www.facebook.com/pages/Booneville-Democrat/181853741828453,BoonevilleDemo,5623321,AR
Central Delta Argus Sun,Newspapers,http://argussunonline.com/,https://www.facebook.com/pages/Central-Delta-Argus-Sun/108283809210276,,,AR
Bryant Daily,Newspapers,http://www.bryantdaily.com,https://www.facebook.com/bryantdaily,BryantDaily,1857961,AR
Cabot Star-Herald,Newspapers,http://lonokenews.net/cabot-star-herald,https://www.facebook.com/cabotstarherald,cabotstarherald,4632221,AR
White River Current,Newspapers,http://www.whiterivercurrent.com/,,,,AR
Camden News,Newspapers,http://www.camdenarknews.com/,https://www.facebook.com/CamdenNews,CamdenArkNews,27246518,AR
Carlisle Independent,Newspapers,http://lonokenews.net/carlisle-independent,https://www.facebook.com/pages/Carlisle-Independent/239867962762204,CarlisleIndepen,4853538,AR
Charleston Express,Newspapers,http://charlestonexpress.com/,https://www.facebook.com/pages/Charleston-Express/105935299472731,,,AR
Area Wide News,Newspapers,http://www.areawidenews.com/,https://www.facebook.com/pages/Areawide-Media/233433420012182,,,AR
Johnson County Graphic,Newspapers,http://www.thegraphic.org/,,,,AR
Van Buren County Democrat,Newspapers,http://www.vanburencountydem.com/,https://www.facebook.com/pages/Van-Buren-County-Democrat/326134284087056,VBCDemocrat,463422324,AR
Log Cabin Democrat,Newspapers,http://thecabin.net/,https://www.facebook.com/LogCabinDemocrat,lcdonline,16532722,AR
Ashley News Observer,Newspapers,http://www.ashleynewsobserver.com,,,,AR
De Queen Bee,Newspapers,http://dequeenbee.com/,https://www.facebook.com/pages/De-Queen-Bee-Company/263235022698,,,AR
DeWitt Era-Enterprise,Newspapers,http://dewitt-ee.com/,https://www.facebook.com/pages/DeWitt-Era-Enterprise/255231564489429,,,AR
Dover Times,Newspapers,http://www.atkinschronicle.com/,https://www.facebook.com/tacdt,,,AR
El Dorado News-Times,Newspapers,http://www.eldoradonews.com/,https://www.facebook.com/ElDoradoNewsTimes,el_newstimes,379345,AR
Eureka Springs Independent,Newspapers,http://eurekaspringsindependent.com/,https://www.facebook.com/EurekaSpringsIndependent,,,AR
Lovely County Citizen,Newspapers,http://www.lovelycitizen.com/,https://www.facebook.com/lovelycountycitizen,,,AR
Fairfield Bay News,Newspapers,http://fairfieldbaynews.com/,https://www.facebook.com/fairfieldbaynews,,,AR
Washington Co. Enterprise-Leader,Newspapers,http://wcel.nwaonline.com/,https://www.facebook.com/pages/Washington-County-Enterprise-Leader/103777673020222,,,AR
