Twitter_ID,Twitter_Name
19560636,sfbusinesstimes
121597316,sfchronicle
54634130,elteco
64781137,nichibei
34700777,sfexaminer
18132494,sfweekly
18387935,metronewspaper
733761852,RGResident
17625154,SVbizjournal
613838639,WGResident
39341752,capodispatch
24214013,newtimesslo
13179562,slotribune
1465457538,SanMarinoTribun
210975338,sanmateotimes
44976030,smdailyjournal
28594289,Pacific_Sun
,UnidosSC
111678731,Miniondas
404596070,SBIndpndnt
40432723,noozhawk
60757383,pacbiztimes
16882281,SCVSIGNAL
89037284,GoodTimesSC
7136152,scsentinel
24033318,santamariasun
18472450,santamariatimes
287327308,britishweekly
143109155,smdailypress
89289264,SMMirror
18691248,nbaybohemian
57264785,NBBJ
16458383,northbaynews
139821185,SelmaEnterprise
136340465,SVAcorn
18057936,sonomanews
39028324,sonomavalleysun
26532180,uniondemocrat
29509437,tahoedailytrib
14609072,Recordnet
32914782,caravannews
1321258892,Midwaydriller
12800852,tahoedotcom
28196039,tehachapinews
200211973,MoorparkAcorn
462382474,TOAcornNews
,ArkEditor
357105223,Messenger90290
14471197,dailybreezeME
,sierrasun_news
599439716,Docddd
61045464,vtdnews
1256204940,TulareVoice
19185307,turlockjournal
633330243,UDJnews
87504672,vacareporter
102107828,vjotimesherald 
36238813,valleycenter
2447793618,VC_Reporter
15292065,vcstar
44212632,VVDailyPress
63807293,RegPaj
48495120,trinityjournal
19312573,sgvtribune
19414861,whittiernews
48143346,wintersexpress
236951091,woodlandnews
62936417,SFVBJ
2165456221,Siskiyou_Daily
1486263372,YucaipaNewsMirr
,wherela
28457505,sandiegomag
131349500,ocstandard
80193589,thesunrunner
,apuclause
20828218,ThePolyPost
16351704,CPMustangNews
15971215,theorion_news
46243682,thedailytitan
,https://twitter.com/daily49er
16191278,dailysundial
17566659,TheStateHornet
25147932,talonmarks
828747327208841216,ChaffeyBreeze
21696369,CCClarion
472323244,the_cuestonian
57466640,cychron
,LaVozWeekly
71365246,FCHornet
,gccelvaquero
73235834,lvcampustimes
47383110,LBCCVikingNews
179815792,LALoyolan
15317770,thecampanil
62851677,CoastReport
59585516,pcccourier
